TIPO_DATO,ENTIDAD,CB114_1,CB114_2,CB114_3,CB114_4,CB121_1,CB121_2,CB121_2_1,CB121_3,CB121_3_1,CB121_3_2,CB121_4,CB121_5,CB121_6,CB121_7,CB121_VACAS,CB122,CB122_01,CB131_1,CB131_2,CB131_3,CB131_3_1,CB131_3_1_1,CB131_NO_CLAS,CB161_1,CB161_2,CB161_3,CB161_4,CB161_NO_CLAS,CP112,CP121_1,CP121_1_1,CP121_2,CP121_2_1,CP121_3,CP121_4,CP121_5,CP121_5_1,CP121_6,CP121_7,CP121_7_3,CP121_DESTETE,CP121_MUEREN,CP131_1,CP131_2,CP131_3,CP131_3_1,CP131_NO_CLAS,ESTATUS
Límite de confianza superior,Puebla,95202,104198,80127,133541,4069,50675,2.5,60815,5.7,526.8,13010,110813,61305,55720, , , ,117139,123464,117840,46399,70239,78363,163370,25388,147813,26112,70239, , , , , , , , , , , ,88376,5.2,19630, , , , , ,Cifras Definitivas
Coeficiente de variación,Puebla,4.13,4.66,5.5,4.05,22.5,6.54,1.62,8.97,2.66,1.91,11.4,6.46,9.99,9.43, , , ,6.83,6.64,7.82,13.53,4.22,3.87,5.72,22.95,6.66,17.04,4.22, , , , , , , , , , , ,4.89,3.31,7.73, , , , , ,Cifras Definitivas
Estimación,Querétaro,48186,65867,38931,80547,1881,38187,2.5,64858,5.3,499.7,10374,37197,34812,28295, , , ,40668,78949,100297,24746,13617,17925,59013,10166,126232,24504,13617, , , , , , , , , , , ,56308,5.9,11114, , , , , ,Cifras Definitivas
Límite de confianza inferior,Querétaro,42734,55509,34227,71621,1118,30603,2.4,52461,5.1,486.7,7768,32040,25859,21836, , , ,34066,65753,83878,16659,11428,15576,51620,6222,107658,18684,11428, , , , , , , , , , , ,48988,5.4,7410, , , , , ,Cifras Definitivas
Límite de confianza superior,Querétaro,53638,76225,43635,89472,2644,45772,2.6,77256,5.6,512.8,12981,42355,43765,34754, , , ,47271,92145,116715,32832,15806,20275,66405,14109,144805,30324,15806, , , , , , , , , , , ,63628,6.3,14817, , , , , ,Cifras Definitivas
Coeficiente de variación,Querétaro,5.77,8.02,6.16,5.65,20.7,10.13,2.09,9.75,2.32,1.33,12.82,7.07,13.12,11.65, , , ,8.28,8.53,8.35,16.67,8.2,6.69,6.39,19.79,7.51,12.12,8.2, , , , , , , , , , , ,6.63,3.81,17, , , , , ,Cifras Definitivas
Estimación,Quintana Roo,19339,15783,12984,27505,174,13062,2.5,10495,5.8,526.5,4238,35959,563,7638, , , ,9883,45001,18447,2892,2281,3482,32544,32392,1005,7389,2281, , , , , , , , , , , ,23521,6.7,3693, , , , , ,Cifras Definitivas
Límite de confianza inferior,Quintana Roo,18127,14135,11456,25477,46,11756,2.4,8836,5.5,476.8,3360,33164,238,5857, , , ,7457,41085,15340,1467,1713,2781,28679,28659,155,5222,1713, , , , , , , , , , , ,21886,6.5,3205, , , , , ,Cifras Definitivas
Límite de confianza superior,Quintana Roo,20551,17432,14512,29532,301,14368,2.5,12154,6.2,576.2,5117,38755,887,9419, , , ,12308,48917,21553,4318,2848,4183,36410,36126,1855,9555,2848, , , , , , , , , , , ,25155,6.8,4180, , , , , ,Cifras Definitivas
Coeficiente de variación,Quintana Roo,3.2,5.33,6,3.76,37.5,5.1,1.58,8.07,2.85,4.81,10.57,3.97,29.43,11.9, , , ,12.52,4.44,8.59,25.15,12.7,10.27,6.06,5.88,43.16,14.96,12.7, , , , , , , , , , , ,3.55,1.26,6.74, , , , , ,Cifras Definitivas
Estimación,San Luis Potosí,165888,219839,105594,332555,5008,76382,2.7,206349,5.5,510.2,38335,290508,16969,104541, , , ,317618,318489,143595,40341,44175,85786,483079,111700,139069,45853,44175, , , , , , , , , , , ,182002,7,30578, , , , , ,Cifras Definitivas
Límite de confianza inferior,San Luis Potosí,150926,207780,93303,299761,3339,63631,2.6,188036,5.2,496.1,30753,257065,10124,87614, , , ,290976,287798,91603,21135,39015,74345,428227,84764,124380,34252,39015, , , , , , , , , , , ,160799,6.8,27154, , , , , ,Cifras Definitivas
Límite de confianza superior,San Luis Potosí,180850,231898,117886,365349,6676,89132,2.7,224661,5.7,524.2,45918,323951,23813,121467, , , ,344259,349179,195588,59548,49335,97227,537930,138637,153758,57454,49335, , , , , , , , , , , ,203205,7.1,34001, , , , , ,Cifras Definitivas
